model,level,group,n,RMSE,MAE,R2,note
sNaive,global,ALL,54767,0.16122,0.10487,0.64072,
sNaive,tier,centrum,26109,0.17587,0.11542,0.6596,
sNaive,tier,vesten_of_rand,28658,0.1466,0.09527,0.55049,
sNaive,parking,P Bruul,2856,0.1261,0.08725,0.39985,
sNaive,parking,P Grote Markt,6253,0.15162,0.09037,0.79976,
sNaive,parking,P Hoogstraat,7691,0.1697,0.11163,0.32822,
sNaive,parking,P Kathedraal,6256,0.18123,0.11934,0.71952,
sNaive,parking,P Keerdok,8777,0.11671,0.08117,0.34562,
sNaive,parking,P Komet,2958,0.16304,0.11568,-0.06382,
sNaive,parking,P Lamot,2995,0.20291,0.15094,0.20385,
sNaive,parking,P Maarten,5754,0.08722,0.05232,-0.28501,
sNaive,parking,P Tinel,8313,0.19881,0.13537,0.51909,
sNaive,parking,P Veemarkt,2914,0.19736,0.13423,0.62012,
HistMean,global,ALL,54767,0.36093,0.28863,-0.80075,15.9% rijen met globale fallback
HistMean,tier,centrum,26109,0.41554,0.33784,-0.90044,15.9% rijen met globale fallback
HistMean,tier,vesten_of_rand,28658,0.30272,0.2438,-0.9166,15.9% rijen met globale fallback
HistMean,parking,P Bruul,2856,0.10967,0.07863,0.54598,
HistMean,parking,P Grote Markt,6253,0.40351,0.372,-0.41821,
HistMean,parking,P Hoogstraat,7691,0.26153,0.18072,-0.59556,
HistMean,parking,P Kathedraal,6256,0.61538,0.56398,-2.234,
HistMean,parking,P Keerdok,8777,0.15073,0.13003,-0.09151,
HistMean,parking,P Komet,2958,0.24924,0.21665,-1.48615,cold_start: globale fallback (geen traindata)
HistMean,parking,P Lamot,2995,0.25261,0.20565,-0.2339,
HistMean,parking,P Maarten,5754,0.33676,0.32785,-18.1564,cold_start: globale fallback (geen traindata)
HistMean,parking,P Tinel,8313,0.43266,0.37214,-1.27767,
HistMean,parking,P Veemarkt,2914,0.37227,0.32959,-0.35163,
ElasticNet,global,ALL,54767,0.09666,0.06193,0.87085,"alpha=0.005, l1_ratio=0.5, tier-fallback"
ElasticNet,tier,centrum,26109,0.11451,0.07617,0.85569,"alpha=0.005, l1_ratio=0.5, tier-fallback"
ElasticNet,tier,vesten_of_rand,28658,0.07687,0.04896,0.8764,"alpha=0.005, l1_ratio=0.5, tier-fallback"
ElasticNet,parking,P Bruul,2856,0.06405,0.04443,0.84514,"alpha=0.005, l1_ratio=0.5, tier-fallback"
ElasticNet,parking,P Grote Markt,6253,0.1277,0.0848,0.85797,"alpha=0.005, l1_ratio=0.5, tier-fallback"
ElasticNet,parking,P Hoogstraat,7691,0.08209,0.05439,0.84279,"alpha=0.005, l1_ratio=0.5, tier-fallback"
ElasticNet,parking,P Kathedraal,6256,0.13496,0.0902,0.84446,"alpha=0.005, l1_ratio=0.5, tier-fallback"
ElasticNet,parking,P Keerdok,8777,0.05366,0.03858,0.86166,"alpha=0.005, l1_ratio=0.5, tier-fallback"
ElasticNet,parking,P Komet,2958,0.06941,0.04887,0.80718,"alpha=0.005, l1_ratio=0.5, tier-fallback"
ElasticNet,parking,P Lamot,2995,0.10016,0.0751,0.80599,"alpha=0.005, l1_ratio=0.5, tier-fallback"
ElasticNet,parking,P Maarten,5754,0.03544,0.02283,0.7878,"alpha=0.005, l1_ratio=0.5, tier-fallback"
ElasticNet,parking,P Tinel,8313,0.1155,0.07957,0.8377,"alpha=0.005, l1_ratio=0.5, tier-fallback"
ElasticNet,parking,P Veemarkt,2914,0.12365,0.0861,0.85089,"alpha=0.005, l1_ratio=0.5, tier-fallback"
Ridge,global,ALL,54767,0.09732,0.06271,0.86909,"alpha=1.0 L2-only, tier-fallback, 37/38 actief"
Ridge,tier,centrum,26109,0.11527,0.07711,0.85377,"alpha=1.0 L2-only, tier-fallback, 37/38 actief"
Ridge,tier,vesten_of_rand,28658,0.07742,0.04959,0.87464,"alpha=1.0 L2-only, tier-fallback, 37/38 actief"
Ridge,parking,P Bruul,2856,0.06446,0.04575,0.84316,"alpha=1.0 L2-only, tier-fallback, 37/38 actief"
Ridge,parking,P Grote Markt,6253,0.12894,0.0861,0.85519,"alpha=1.0 L2-only, tier-fallback, 37/38 actief"
Ridge,parking,P Hoogstraat,7691,0.08294,0.05548,0.83952,"alpha=1.0 L2-only, tier-fallback, 37/38 actief"
Ridge,parking,P Kathedraal,6256,0.13557,0.09129,0.84305,"alpha=1.0 L2-only, tier-fallback, 37/38 actief"
Ridge,parking,P Keerdok,8777,0.05429,0.03946,0.8584,"alpha=1.0 L2-only, tier-fallback, 37/38 actief"
Ridge,parking,P Komet,2958,0.07218,0.0492,0.79147,"alpha=1.0 L2-only, tier-fallback, 37/38 actief"
Ridge,parking,P Lamot,2995,0.1002,0.07502,0.80584,"alpha=1.0 L2-only, tier-fallback, 37/38 actief"
Ridge,parking,P Maarten,5754,0.03545,0.023,0.78773,"alpha=1.0 L2-only, tier-fallback, 37/38 actief"
Ridge,parking,P Tinel,8313,0.11576,0.08015,0.83697,"alpha=1.0 L2-only, tier-fallback, 37/38 actief"
Ridge,parking,P Veemarkt,2914,0.12424,0.08659,0.84945,"alpha=1.0 L2-only, tier-fallback, 37/38 actief"
