feature_name,track_allowed,availability_label,rationale,evidence_source,included_primary_policy,included_primary_forecast
e_event_proximity_clip,policy|forecast,ex_post_or_uncertain,Conservative strict rule: timing-proximity style event feature is uncertain ex-ante.,phase4_feature_sets/feature_registry.csv + conservative strict rule,False,False
e_event_scale_is_large,policy|forecast,ex_ante_probable,Event calendar/type signal is usually known in advance but operational certainty can vary.,phase4_feature_sets/feature_registry.csv + conservative strict rule,True,True
e_event_scale_max,policy|forecast,ex_ante_probable,Event calendar/type signal is usually known in advance but operational certainty can vary.,phase4_feature_sets/feature_registry.csv + conservative strict rule,True,True
e_event_window_post_24h,policy|forecast,ex_post_or_uncertain,Conservative strict rule: timing-proximity style event feature is uncertain ex-ante.,phase4_feature_sets/feature_registry.csv + conservative strict rule,False,False
e_event_window_pre_24h,policy|forecast,ex_post_or_uncertain,Conservative strict rule: timing-proximity style event feature is uncertain ex-ante.,phase4_feature_sets/feature_registry.csv + conservative strict rule,False,False
e_football_kickoff_hour_cos,policy|forecast,ex_ante_probable,Event calendar/type signal is usually known in advance but operational certainty can vary.,phase4_feature_sets/feature_registry.csv + conservative strict rule,True,True
e_football_kickoff_hour_sin,policy|forecast,ex_ante_probable,Event calendar/type signal is usually known in advance but operational certainty can vary.,phase4_feature_sets/feature_registry.csv + conservative strict rule,True,True
e_has_football_kickoff,policy|forecast,ex_ante_probable,Event calendar/type signal is usually known in advance but operational certainty can vary.,phase4_feature_sets/feature_registry.csv + conservative strict rule,True,True
e_hours_since_event_clip,policy|forecast,ex_post_or_uncertain,Conservative strict rule: timing-proximity style event feature is uncertain ex-ante.,phase4_feature_sets/feature_registry.csv + conservative strict rule,False,False
e_hours_to_event_clip,policy|forecast,ex_post_or_uncertain,Conservative strict rule: timing-proximity style event feature is uncertain ex-ante.,phase4_feature_sets/feature_registry.csv + conservative strict rule,False,False
e_int_event_x_tier_centrum,policy|forecast,ex_ante_probable,Event calendar/type signal is usually known in advance but operational certainty can vary.,phase4_feature_sets/feature_registry.csv + conservative strict rule,True,True
e_is_carnival_day,policy|forecast,ex_ante_probable,Event calendar/type signal is usually known in advance but operational certainty can vary.,phase4_feature_sets/feature_registry.csv + conservative strict rule,True,True
e_is_event_day,policy|forecast,ex_ante_probable,Event calendar/type signal is usually known in advance but operational certainty can vary.,phase4_feature_sets/feature_registry.csv + conservative strict rule,True,True
e_is_festival_day,policy|forecast,ex_ante_probable,Event calendar/type signal is usually known in advance but operational certainty can vary.,phase4_feature_sets/feature_registry.csv + conservative strict rule,True,True
e_is_football_day,policy|forecast,ex_ante_probable,Event calendar/type signal is usually known in advance but operational certainty can vary.,phase4_feature_sets/feature_registry.csv + conservative strict rule,True,True
e_is_kermis_day,policy|forecast,ex_ante_probable,Event calendar/type signal is usually known in advance but operational certainty can vary.,phase4_feature_sets/feature_registry.csv + conservative strict rule,True,True
e_is_markt_day,policy|forecast,ex_ante_probable,Event calendar/type signal is usually known in advance but operational certainty can vary.,phase4_feature_sets/feature_registry.csv + conservative strict rule,True,True
e_is_procession_day,policy|forecast,ex_ante_probable,Event calendar/type signal is usually known in advance but operational certainty can vary.,phase4_feature_sets/feature_registry.csv + conservative strict rule,True,True
e_is_sport_day,policy|forecast,ex_ante_probable,Event calendar/type signal is usually known in advance but operational certainty can vary.,phase4_feature_sets/feature_registry.csv + conservative strict rule,True,True
e_n_concurrent_events,policy|forecast,ex_ante_probable,Event calendar/type signal is usually known in advance but operational certainty can vary.,phase4_feature_sets/feature_registry.csv + conservative strict rule,True,True
e_n_concurrent_events_capped,policy|forecast,ex_ante_probable,Event calendar/type signal is usually known in advance but operational certainty can vary.,phase4_feature_sets/feature_registry.csv + conservative strict rule,True,True
