artifact,path,expected_sha256,observed_sha256,checksum_ok
policy_train.parquet,/Users/emilevandevoorde/Documents/mp_mechelen_parking_v2/data_processed/phase4_feature_sets/policy_train.parquet,8c8ead6b8ed69846c1de0d5c876db60e20df4030380ee73bcf86d21e19a76cff,8c8ead6b8ed69846c1de0d5c876db60e20df4030380ee73bcf86d21e19a76cff,True
policy_holdout_2025.parquet,/Users/emilevandevoorde/Documents/mp_mechelen_parking_v2/data_processed/phase4_feature_sets/policy_holdout_2025.parquet,490eeeb6fd8a3b92c0756b5ee12c8cfde8a443157eaa1e0f478c79fbcb6e2e89,490eeeb6fd8a3b92c0756b5ee12c8cfde8a443157eaa1e0f478c79fbcb6e2e89,True
forecast_train.parquet,/Users/emilevandevoorde/Documents/mp_mechelen_parking_v2/data_processed/phase4_feature_sets/forecast_train.parquet,c7be991a115a1f2f63b25dcf1a048c1ba648993f141f816dadfd43a4cbac7d24,c7be991a115a1f2f63b25dcf1a048c1ba648993f141f816dadfd43a4cbac7d24,True
forecast_holdout_2025.parquet,/Users/emilevandevoorde/Documents/mp_mechelen_parking_v2/data_processed/phase4_feature_sets/forecast_holdout_2025.parquet,493d830117ad45281b1a47679c0a8c0ec2204e051eeb4fd0aa60bd93c04391fc,493d830117ad45281b1a47679c0a8c0ec2204e051eeb4fd0aa60bd93c04391fc,True
feature_registry.csv,/Users/emilevandevoorde/Documents/mp_mechelen_parking_v2/data_processed/phase4_feature_sets/feature_registry.csv,7db132f9d1ef1e49f3985b1704e5bdb67fa663813d331769da66ebbcbff1a0a8,7db132f9d1ef1e49f3985b1704e5bdb67fa663813d331769da66ebbcbff1a0a8,True
feature_manifest_policy.json,/Users/emilevandevoorde/Documents/mp_mechelen_parking_v2/data_processed/phase4_feature_sets/feature_manifest_policy.json,c3962e21e6da2401555ed7dce135e39e2b885d50841bb208c406f46e644ff30a,c3962e21e6da2401555ed7dce135e39e2b885d50841bb208c406f46e644ff30a,True
feature_manifest_forecast.json,/Users/emilevandevoorde/Documents/mp_mechelen_parking_v2/data_processed/phase4_feature_sets/feature_manifest_forecast.json,b693120448ea6fb149eb662173d92063e64f083f6b16c4c299e9b8ff8782eaa4,b693120448ea6fb149eb662173d92063e64f083f6b16c4c299e9b8ff8782eaa4,True
schema_policy_snapshot.json,/Users/emilevandevoorde/Documents/mp_mechelen_parking_v2/data_processed/phase4_feature_sets/schema_policy_snapshot.json,f75e4026b2337f9eaa5028af3591eb5f9ab0ee5816986a90f3eea315fc2a3b56,f75e4026b2337f9eaa5028af3591eb5f9ab0ee5816986a90f3eea315fc2a3b56,True
schema_forecast_snapshot.json,/Users/emilevandevoorde/Documents/mp_mechelen_parking_v2/data_processed/phase4_feature_sets/schema_forecast_snapshot.json,bf88362229385640e81f0693d5b70959c8dba9ecbd942f3a4ecfd8916e3f1b63,bf88362229385640e81f0693d5b70959c8dba9ecbd942f3a4ecfd8916e3f1b63,True
data_dictionary_policy.csv,/Users/emilevandevoorde/Documents/mp_mechelen_parking_v2/data_processed/phase4_feature_sets/data_dictionary_policy.csv,a5f5bfbb79001a1d6adf89cfbfbd527752ab99188a00177340cab2747d7d7d9a,a5f5bfbb79001a1d6adf89cfbfbd527752ab99188a00177340cab2747d7d7d9a,True
data_dictionary_forecast.csv,/Users/emilevandevoorde/Documents/mp_mechelen_parking_v2/data_processed/phase4_feature_sets/data_dictionary_forecast.csv,0af44fdb7a566ea26394f2dec7d01553eb0ab0f094ef85cff68e519118dfb7be,0af44fdb7a566ea26394f2dec7d01553eb0ab0f094ef85cff68e519118dfb7be,True
