track,variant,run_id,cv_mode,model_family,model_key,folds,mean_mae,std_mae,mean_rmse,mean_mape,mean_n_valid,cv_variability_ratio,status,selected_for_holdout,is_primary_candidate,selection_note
forecast,F0,F0_persistence_baseline,fold_safe,baseline,persistence_baseline,3,0.08843064708016524,0.00216184210839682,0.1331598458286938,9834.327562484734,14767.333333333334,0.02444675211340521,candidate,True,False,
forecast,F1,F1_xgb_80_d4_lr006,fold_safe,xgboost,xgb_80_d4_lr006,3,0.21787480864036954,0.045083389922944764,0.25968960395491697,158174.57113111642,14767.333333333334,0.20692337128961388,candidate,True,False,
forecast,F2,F2_rf_90_d12_l2,fold_safe,random_forest,rf_90_d12_l2,3,0.06784341173722166,0.0035252370645903214,0.09769629613233251,22927.771449106946,14767.333333333334,0.05196137656290998,candidate,True,False,
forecast,F3,F3_rf_90_d12_l2,fold_safe,random_forest,rf_90_d12_l2,3,0.065357921422058,0.004046826028885348,0.09112481723911557,26536.008726695974,11659.666666666666,0.06191791202710377,candidate,True,True,
forecast,F4,F4_rf_90_d12_l2,fold_safe,random_forest,rf_90_d12_l2,3,0.060482626270420004,0.002571177088550753,0.0878822514153631,41188.604259041116,3163.3333333333335,0.0425110026977818,rejected_by_f4_rule,False,False,F4 gain=10.850% vs F2; retention=21.421%
policy,P0,P0_profile_baseline,fold_safe,baseline,profile_baseline,3,0.20721314144714795,0.030178573730356813,0.2622364527316023,252497.86440359103,14767.333333333334,0.14564025003237643,candidate,True,False,
policy,P1,P1_ridge_a1_0,fold_safe,ridge,ridge_a1_0,3,0.22176892361472042,0.016795356403583227,0.2748706334358879,292905.36165546003,14767.333333333334,0.07573358850206548,candidate,False,False,
policy,P2,P2_xgb_80_d4_lr006,fold_safe,xgboost,xgb_80_d4_lr006,3,0.2273945044386899,0.04841713837937559,0.27824082639154896,495537.75168000004,14767.333333333334,0.21292132146680715,candidate,True,False,
policy,P3,P3_xgb_80_d4_lr006,fold_safe,xgboost,xgb_80_d4_lr006,3,0.22226160078421356,0.043714291843462115,0.2730750743319592,450900.7738751348,14767.333333333334,0.196679461001016,candidate,True,False,
policy,P4,P4_ridge_a1_0,fold_safe,ridge,ridge_a1_0,3,0.22193828867929974,0.014015897305523302,0.2756175874232759,297109.0041839128,14767.333333333334,0.06315222753553912,candidate,True,True,
