claim_id,track,claim_text,evidence_file,evidence_strength,caveat
C001,policy,t_season__zomer is among the dominant explanatory features for P4_ridge_a1_0 in holdout SHAP ranking.,phase5_shap_global_importance.csv; phase5_shap_fold_stability.csv; phase5_shap_tier_delta_tests.csv,moderate,tier contrast is not statistically robust
C002,policy,s_parking_id__p_maarten is among the dominant explanatory features for P4_ridge_a1_0 in holdout SHAP ranking.,phase5_shap_global_importance.csv; phase5_shap_fold_stability.csv; phase5_shap_tier_delta_tests.csv,weak,direction over folds is not highly stable
C003,policy,t_hour_cos is among the dominant explanatory features for P4_ridge_a1_0 in holdout SHAP ranking.,phase5_shap_global_importance.csv; phase5_shap_fold_stability.csv; phase5_shap_tier_delta_tests.csv,weak,tier contrast is not statistically robust
C004,policy,s_parking_id__p_hoogstraat is among the dominant explanatory features for P4_ridge_a1_0 in holdout SHAP ranking.,phase5_shap_global_importance.csv; phase5_shap_fold_stability.csv; phase5_shap_tier_delta_tests.csv,strong,none
C005,policy,e_int_temp_x_season__zomer is among the dominant explanatory features for P4_ridge_a1_0 in holdout SHAP ranking.,phase5_shap_global_importance.csv; phase5_shap_fold_stability.csv; phase5_shap_tier_delta_tests.csv,moderate,tier contrast is not statistically robust
C006,policy,e_n_concurrent_events_capped is among the dominant explanatory features for P4_ridge_a1_0 in holdout SHAP ranking.,phase5_shap_global_importance.csv; phase5_shap_fold_stability.csv; phase5_shap_tier_delta_tests.csv,weak,tier contrast is not statistically robust
C007,policy,t_hour_sin is among the dominant explanatory features for P4_ridge_a1_0 in holdout SHAP ranking.,phase5_shap_global_importance.csv; phase5_shap_fold_stability.csv; phase5_shap_tier_delta_tests.csv,weak,tier contrast is not statistically robust
C008,policy,s_parking_id__p_tinel is among the dominant explanatory features for P4_ridge_a1_0 in holdout SHAP ranking.,phase5_shap_global_importance.csv; phase5_shap_fold_stability.csv; phase5_shap_tier_delta_tests.csv,strong,none
C009,forecast,l_occ_lag_1h is among the dominant explanatory features for F3_rf_90_d12_l2 in holdout SHAP ranking.,phase5_shap_global_importance.csv; phase5_shap_fold_stability.csv; phase5_shap_tier_delta_tests.csv,strong,none
C010,forecast,l_occ_lag_168h is among the dominant explanatory features for F3_rf_90_d12_l2 in holdout SHAP ranking.,phase5_shap_global_importance.csv; phase5_shap_fold_stability.csv; phase5_shap_tier_delta_tests.csv,strong,none
C011,forecast,l_occ_lag_24h is among the dominant explanatory features for F3_rf_90_d12_l2 in holdout SHAP ranking.,phase5_shap_global_importance.csv; phase5_shap_fold_stability.csv; phase5_shap_tier_delta_tests.csv,strong,none
C012,forecast,t_hour_sin is among the dominant explanatory features for F3_rf_90_d12_l2 in holdout SHAP ranking.,phase5_shap_global_importance.csv; phase5_shap_fold_stability.csv; phase5_shap_tier_delta_tests.csv,strong,none
C013,forecast,t_hour_cos is among the dominant explanatory features for F3_rf_90_d12_l2 in holdout SHAP ranking.,phase5_shap_global_importance.csv; phase5_shap_fold_stability.csv; phase5_shap_tier_delta_tests.csv,strong,none
C014,forecast,s_capacity_bucket__medium is among the dominant explanatory features for F3_rf_90_d12_l2 in holdout SHAP ranking.,phase5_shap_global_importance.csv; phase5_shap_fold_stability.csv; phase5_shap_tier_delta_tests.csv,weak,none
C015,forecast,l_occ_lag_delta_1h_24h is among the dominant explanatory features for F3_rf_90_d12_l2 in holdout SHAP ranking.,phase5_shap_global_importance.csv; phase5_shap_fold_stability.csv; phase5_shap_tier_delta_tests.csv,strong,none
C016,forecast,t_weekday_cos is among the dominant explanatory features for F3_rf_90_d12_l2 in holdout SHAP ranking.,phase5_shap_global_importance.csv; phase5_shap_fold_stability.csv; phase5_shap_tier_delta_tests.csv,weak,none
C017,policy,"Policy benchmark P0 has lower holdout MAE than primary P4, so P4 must be framed as methodological/ex-ante strictness trade-off rather than pure accuracy gain.",phase4_holdout_results_2025.csv,strong,accuracy-optimality and policy-interpretability are not aligned
C018,forecast,"Forecast benchmark F0 has slightly lower holdout MAE than primary F3 on full holdout scope, while F3 remains the lag-valid primary interpretative model.",phase4_holdout_results_2025.csv,strong,scope mismatch (full-set baseline vs lag-valid primary) must be stated explicitly
