event_label,tier,lag,mean_delta,ci_lo,ci_hi,n
Voetbal,centrum,-6,-0.1595,-0.227,-0.0896,80
Voetbal,centrum,-5,-0.1929,-0.2589,-0.1273,78
Voetbal,centrum,-4,-0.2045,-0.276,-0.1315,76
Voetbal,centrum,-3,-0.2165,-0.2771,-0.1546,94
Voetbal,centrum,-2,-0.127,-0.1837,-0.0742,96
Voetbal,centrum,-1,-0.0866,-0.147,-0.0308,89
Voetbal,centrum,0,-0.0932,-0.166,-0.0274,85
Voetbal,centrum,1,-0.1207,-0.1882,-0.0546,93
Voetbal,centrum,2,-0.0426,-0.0994,0.0131,101
Voetbal,centrum,3,-0.0052,-0.0571,0.0491,102
Voetbal,centrum,4,0.0091,-0.0518,0.0737,81
Voetbal,centrum,5,0.0529,-0.0181,0.1189,78
Voetbal,vesten_of_rand,-6,0.063,-0.0024,0.1295,75
Voetbal,vesten_of_rand,-5,0.0502,-0.0161,0.1136,76
Voetbal,vesten_of_rand,-4,0.0304,-0.0357,0.0905,70
Voetbal,vesten_of_rand,-3,-0.0014,-0.0635,0.0587,66
Voetbal,vesten_of_rand,-2,0.0365,-0.0251,0.0961,68
Voetbal,vesten_of_rand,-1,0.0708,0.0089,0.1326,62
Voetbal,vesten_of_rand,0,0.1115,0.038,0.1831,61
Voetbal,vesten_of_rand,1,0.1204,0.0569,0.1861,69
Voetbal,vesten_of_rand,2,0.1231,0.0621,0.189,64
Voetbal,vesten_of_rand,3,0.1318,0.068,0.1964,67
Voetbal,vesten_of_rand,4,0.123,0.0545,0.1995,52
Voetbal,vesten_of_rand,5,0.1274,0.0503,0.1957,48
Festival,centrum,-6,-0.0741,-0.12,-0.0242,7
Festival,centrum,-5,-0.1171,-0.1569,-0.0729,7
Festival,centrum,-4,-0.1647,-0.2115,-0.114,8
Festival,centrum,-3,-0.2128,-0.2667,-0.1629,9
Festival,centrum,-2,-0.2094,-0.3179,-0.1039,9
Festival,centrum,-1,-0.1199,-0.2596,0.032,9
Festival,centrum,0,-0.1023,-0.2684,0.072,8
Festival,centrum,1,-0.1415,-0.3184,0.0933,6
Festival,centrum,2,-0.2162,-0.3331,-0.0749,5
Festival,centrum,3,-0.1964,-0.3375,-0.0264,5
Festival,centrum,4,-0.066,-0.2791,0.1503,6
Festival,centrum,5,-0.0968,-0.2699,0.206,5
Festival,centrum,6,-0.1276,-0.2506,0.0649,5
Festival,vesten_of_rand,-6,0.0864,0.0391,0.133,16
Festival,vesten_of_rand,-5,0.0746,0.0301,0.1209,16
Festival,vesten_of_rand,-4,0.0272,-0.0156,0.07,17
Festival,vesten_of_rand,-3,0.0027,-0.0356,0.0387,18
Festival,vesten_of_rand,-2,0.0103,-0.0233,0.0396,19
Festival,vesten_of_rand,-1,0.0173,-0.0272,0.0663,18
Festival,vesten_of_rand,0,0.0092,-0.0564,0.0879,19
Festival,vesten_of_rand,1,0.004,-0.0809,0.1008,19
Festival,vesten_of_rand,2,-0.0052,-0.0888,0.096,19
Festival,vesten_of_rand,3,-0.0214,-0.1159,0.0875,19
Festival,vesten_of_rand,4,-0.0012,-0.1147,0.1403,19
Festival,vesten_of_rand,5,-0.035,-0.1151,0.0645,17
Festival,vesten_of_rand,6,0.0113,-0.0665,0.1082,17
Processie,centrum,-6,0.257,0.0469,0.4636,8
Processie,centrum,-5,0.2752,0.0641,0.4789,7
Processie,centrum,-4,0.2778,0.1029,0.4517,8
Processie,centrum,-3,0.2079,0.0499,0.3638,8
Processie,centrum,-2,0.0597,-0.0748,0.2117,8
Processie,centrum,-1,0.0574,-0.0721,0.2133,8
Processie,centrum,0,0.0912,-0.0662,0.2669,8
Processie,centrum,1,0.1783,0.0344,0.3268,8
Processie,centrum,2,0.1164,-0.0056,0.2474,7
Processie,centrum,3,0.1486,-0.0277,0.3435,8
Processie,centrum,4,0.0871,-0.0774,0.2716,7
Processie,centrum,5,0.0837,-0.1363,0.322,8
Processie,centrum,6,0.0146,-0.2114,0.2802,6
Processie,vesten_of_rand,-6,-0.0205,-0.0903,0.1083,4
Processie,vesten_of_rand,-5,0.089,-0.1029,0.3658,5
Processie,vesten_of_rand,-4,0.0966,-0.0973,0.3672,5
Processie,vesten_of_rand,-3,0.0574,-0.1365,0.3276,5
Processie,vesten_of_rand,-2,0.0349,-0.1485,0.2862,5
Processie,vesten_of_rand,-1,0.0182,-0.1558,0.2459,5
Processie,vesten_of_rand,0,0.0247,-0.1484,0.2208,5
Processie,vesten_of_rand,1,0.0255,-0.1437,0.2174,5
Processie,vesten_of_rand,2,0.01,-0.1341,0.1806,5
Processie,vesten_of_rand,3,0.0036,-0.1347,0.169,5
Processie,vesten_of_rand,4,0.01,-0.1377,0.1739,5
Processie,vesten_of_rand,5,0.0325,-0.1156,0.2093,5
Processie,vesten_of_rand,6,0.0418,-0.0999,0.1823,5
Kermis,centrum,-6,0.133,0.0984,0.1689,248
Kermis,centrum,-5,0.1115,0.0792,0.1445,281
Kermis,centrum,-4,0.088,0.0614,0.1133,291
Kermis,centrum,-3,0.0724,0.0481,0.0959,297
Kermis,centrum,-2,0.0997,0.067,0.1336,283
Kermis,centrum,-1,0.0869,0.0477,0.125,255
Kermis,centrum,0,0.0461,0.0009,0.0874,242
Kermis,centrum,1,0.0549,0.0089,0.0989,228
Kermis,centrum,2,0.0604,0.0141,0.1095,216
Kermis,centrum,3,0.0585,0.0114,0.1029,222
Kermis,centrum,4,0.0494,0.006,0.086,245
Kermis,centrum,5,0.0656,0.0336,0.0962,261
Kermis,centrum,6,0.0763,0.0473,0.1052,264
Kermis,vesten_of_rand,-6,0.0882,0.0629,0.1144,217
Kermis,vesten_of_rand,-5,0.1028,0.0753,0.1311,233
Kermis,vesten_of_rand,-4,0.1126,0.086,0.1399,247
Kermis,vesten_of_rand,-3,0.1165,0.0883,0.1435,254
Kermis,vesten_of_rand,-2,0.115,0.0873,0.1434,259
Kermis,vesten_of_rand,-1,0.11,0.0803,0.1406,260
Kermis,vesten_of_rand,0,0.1025,0.0722,0.1331,254
Kermis,vesten_of_rand,1,0.1073,0.0788,0.1387,251
Kermis,vesten_of_rand,2,0.1231,0.0906,0.1554,250
Kermis,vesten_of_rand,3,0.1162,0.0815,0.1512,254
Kermis,vesten_of_rand,4,0.1136,0.0827,0.1452,255
Kermis,vesten_of_rand,5,0.0995,0.0722,0.1329,257
Kermis,vesten_of_rand,6,0.0987,0.0704,0.131,257
Carnaval,centrum,-6,0.1963,0.0771,0.308,33
Carnaval,centrum,-5,0.222,0.1124,0.3269,38
Carnaval,centrum,-4,0.1372,0.04,0.234,38
Carnaval,centrum,-3,0.0376,-0.0354,0.1078,39
Carnaval,centrum,-2,-0.0705,-0.1288,-0.0031,37
Carnaval,centrum,-1,-0.1055,-0.167,-0.0408,36
Carnaval,centrum,0,-0.0933,-0.1511,-0.0311,34
Carnaval,centrum,1,-0.0566,-0.1221,0.0153,31
Carnaval,centrum,2,-0.0827,-0.1452,-0.0148,31
Carnaval,centrum,3,-0.0601,-0.1277,0.0129,33
Carnaval,centrum,4,0.0105,-0.058,0.0861,32
Carnaval,centrum,5,0.0114,-0.0555,0.0834,33
Carnaval,centrum,6,0.0387,-0.0297,0.108,34
Carnaval,vesten_of_rand,-6,0.1137,0.0155,0.232,17
Carnaval,vesten_of_rand,-5,0.1448,0.0239,0.2897,18
Carnaval,vesten_of_rand,-4,0.1453,0.0281,0.2792,20
Carnaval,vesten_of_rand,-3,0.1025,0.003,0.2159,20
Carnaval,vesten_of_rand,-2,0.0542,-0.0241,0.1513,20
Carnaval,vesten_of_rand,-1,-0.0007,-0.0554,0.0692,20
Carnaval,vesten_of_rand,0,0.0173,-0.039,0.0909,20
Carnaval,vesten_of_rand,1,0.0271,-0.0431,0.1177,20
Carnaval,vesten_of_rand,2,0.0932,-0.0022,0.205,22
Carnaval,vesten_of_rand,3,0.096,0.014,0.2156,20
Carnaval,vesten_of_rand,4,0.0781,-0.0094,0.1834,20
Carnaval,vesten_of_rand,5,0.0801,0.002,0.1727,19
Carnaval,vesten_of_rand,6,0.0926,0.0083,0.1973,20
