event_label,tier,lag,mean_delta,n,t_stat,p_value,significant
Voetbal,centrum,-1,-0.0866,89,-2.9394,0.0042,True
Voetbal,centrum,1,-0.1207,93,-3.5568,0.0006,True
Voetbal,vesten_of_rand,-1,0.0708,62,2.1989,0.0317,True
Voetbal,vesten_of_rand,1,0.1204,69,3.4886,0.0009,True
Festival,centrum,-1,-0.1199,9,-1.5132,0.1687,False
Festival,centrum,1,-0.1415,6,-1.1593,0.2987,False
Festival,vesten_of_rand,-1,0.0173,18,0.6894,0.4999,False
Festival,vesten_of_rand,1,0.004,19,0.0846,0.9335,False
Processie,centrum,-1,0.0574,8,0.7396,0.4836,False
Processie,centrum,1,0.1783,8,2.2353,0.0605,False
Processie,vesten_of_rand,-1,0.0182,5,0.1559,0.8837,False
Processie,vesten_of_rand,1,0.0255,5,0.2372,0.8242,False
Kermis,centrum,-1,0.0869,255,4.5271,0.0,True
Kermis,centrum,1,0.0549,228,2.3595,0.0191,True
Kermis,vesten_of_rand,-1,0.11,260,7.1606,0.0,True
Kermis,vesten_of_rand,1,0.1073,251,6.8916,0.0,True
Carnaval,centrum,-1,-0.1055,36,-3.3179,0.0021,True
Carnaval,centrum,1,-0.0566,31,-1.5859,0.1233,False
Carnaval,vesten_of_rand,-1,-0.0007,20,-0.0214,0.9832,False
Carnaval,vesten_of_rand,1,0.0271,20,0.6488,0.5242,False
