tier,feature,importance,std,rank,positive,method
centrum,total_capacity,0.246894,0.0,1,True,spearman_proxy
centrum,year_dummy,0.156744,0.0,2,True,spearman_proxy
centrum,hour_cos,0.098,0.0,3,True,spearman_proxy
centrum,hour_sin,0.096475,0.0,4,True,spearman_proxy
centrum,month_sin,0.063867,0.0,5,True,spearman_proxy
centrum,wind_speed_ms,0.046246,0.0,6,True,spearman_proxy
centrum,sun_duration_min,0.045749,0.0,7,True,spearman_proxy
centrum,weekday_sin,0.028846,0.0,8,True,spearman_proxy
centrum,temp_c,0.027821,0.0,9,True,spearman_proxy
centrum,month_cos,0.024779,0.0,10,True,spearman_proxy
centrum,is_event_day,0.014327,0.0,11,True,spearman_proxy
centrum,is_school_vacation,0.010621,0.0,12,True,spearman_proxy
centrum,precip_mm,0.00972,0.0,13,True,spearman_proxy
centrum,weekday_cos,0.004853,0.0,14,True,spearman_proxy
centrum,is_national_holiday,0.00354,0.0,15,True,spearman_proxy
vesten_of_rand,hour_cos,0.292551,0.0,1,True,spearman_proxy
vesten_of_rand,wind_speed_ms,0.158677,0.0,2,True,spearman_proxy
vesten_of_rand,sun_duration_min,0.135107,0.0,3,True,spearman_proxy
vesten_of_rand,year_dummy,0.130995,0.0,4,True,spearman_proxy
vesten_of_rand,hour_sin,0.117231,0.0,5,True,spearman_proxy
vesten_of_rand,month_sin,0.109107,0.0,6,True,spearman_proxy
vesten_of_rand,month_cos,0.106428,0.0,7,True,spearman_proxy
vesten_of_rand,is_school_vacation,0.094756,0.0,8,True,spearman_proxy
vesten_of_rand,total_capacity,0.074367,0.0,9,True,spearman_proxy
vesten_of_rand,weekday_cos,0.066738,0.0,10,True,spearman_proxy
vesten_of_rand,temp_c,0.047053,0.0,11,True,spearman_proxy
vesten_of_rand,is_national_holiday,0.043034,0.0,12,True,spearman_proxy
vesten_of_rand,is_event_day,0.036281,0.0,13,True,spearman_proxy
vesten_of_rand,weekday_sin,0.026073,0.0,14,True,spearman_proxy
vesten_of_rand,precip_mm,0.01309,0.0,15,True,spearman_proxy
