event_col,event_label,tier,n_pairs,mean_diff,median_diff,w_stat,z_approx,p_wilcoxon,r_effect,r_label,significant
is_event_day,Alle events,centrum,9109,0.0562,0.0303,16784494.0,-15.7827,0.0,0.1654,klein,True
is_event_day,Alle events,vesten_of_rand,8267,0.0984,0.0469,10601957.5,-29.8883,0.0,0.3287,medium,True
is_football_day,Voetbal,centrum,2150,-0.0232,-0.0617,992891.5,-5.6714,0.0,0.1223,klein,True
is_football_day,Voetbal,vesten_of_rand,1607,0.0751,0.0291,480897.0,-8.8747,0.0,0.2214,klein,True
is_festival_day,Festival,centrum,156,-0.0851,-0.1259,3276.0,-5.0374,0.0,0.4033,medium,True
is_festival_day,Festival,vesten_of_rand,411,0.0985,0.0645,24166.0,-7.5391,0.0,0.3719,medium,True
is_procession_day,Processie,centrum,171,0.1167,0.0444,4646.0,-4.1753,3e-05,0.3193,medium,True
is_procession_day,Processie,vesten_of_rand,115,0.0918,0.0379,2395.5,-2.6219,0.008744,0.2445,klein,True
is_kermis_day,Kermis,centrum,5874,0.0895,0.0707,5609032.0,-23.2227,0.0,0.303,medium,True
is_kermis_day,Kermis,vesten_of_rand,5741,0.1073,0.0575,4710482.0,-28.1136,0.0,0.371,medium,True
is_carnival_day,Carnaval,centrum,805,0.0411,-0.0383,151005.5,-1.6974,0.089618,0.0598,verwaarloosbaar,False
is_carnival_day,Carnaval,vesten_of_rand,454,0.0858,0.024,37253.5,-5.1442,0.0,0.2414,klein,True
