feature,type,herkomst,encoding,prioriteit,basis,referentie
hour_sin + hour_cos,Cyclisch,nb05,sin/cos(2π·hour/24),🔴 HOOG,Sterkste temporele predictor (nb05 cel 02),Cerqueira et al. (2023)
weekday_sin + weekday_cos,Cyclisch,nb05,sin/cos(2π·weekday/7),🔴 HOOG,Weekdag-variantie > 25% (nb05 cel 03),Channamallu et al. (2024)
month_sin + month_cos,Cyclisch,nb05+nb07,sin/cos(2π·month/12) — NIET month raw (H-E5),🔴 HOOG,H-E5: VIF probleem opgelost via cyclische decomp.,James et al. (2021); Cerqueira et al. (2023)
day_type_3,Categorisch,nb05,One-hot: weekday / saturday / sunday_holiday,🔴 HOOG,KW p<0.001 weekdag vs. weekend (nb05),Zhang et al. (2024)
tier,Stratificatie,nb06,Aparte modellen per tier OF one-hot,🔴 HOOG,H-S3: intra > inter-tier correlatie (nb06 cel 06),Yang et al. (2019)
parking_id,Categorisch,nb06,One-hot (10 parkings) of target encoding,🔴 HOOG,H-S1/S2: sterke parking-heterogeniteit (nb06 cel 02),Wang & Li (2024)
total_capacity,Continu,nb06,log(total_capacity),🟡 MEDIUM,Spearman ρ capaciteit × bezetting (nb06 cel 05),Sun et al. (2023)
temp_c,Continu,nb07,Gestandaardiseerd + interactie temp_c × seizoen,🟡 MEDIUM,H-E2: effect aanwezig,Balmer et al. (2021)
precip_mm,Continu/Categorisch,nb07,Bins droog/licht/matig/zwaar OF log(precip+1),🔴 HOOG,H-E1: niet-lineair → binning aanbevolen,Oz (2023); Correia et al. (2020)
wind_speed_ms,Continu,nb07,Drempel-dummy (>10 m/s) OF continu,🟡 MEDIUM,H-E6: drempeleffect bevestigd bij 10 m/s,Böcker et al. (2013)
sun_duration_min,Continu,nb07,Gestandaardiseerd + interactie sun × zomer_dummy,🟢 LAAG,H-E7: effect niet bevestigd,Oz (2023); Balmer et al. (2021)
is_national_holiday,Binair,nb07,Binair + interactie tier × is_national_holiday,🟡 MEDIUM,H-E4: effect aanwezig,Zhang et al. (2024)
is_school_vacation,Binair,nb07,Binair + interactie tier × is_school_vacation,🔴 HOOG,H-E8: centrum↓ vesten neutraal/↑ bevestigd,Zhang et al. (2024)
is_event_day + event_type_dummies,Binair,nb06+nb07,Apart voor football/festival/procession/kermis/carnaval,🔴 HOOG,H-E3/H-S4: cascade-effect + tier-specifiek,Fokker et al. (2021)
tier × is_event_day (interactie),Interactieterm,nb06+nb07,tier-dummy × event-dummy product,🔴 HOOG,H-S4 + H-E3: eventeffect groter voor centrum,Wang & Li (2024)
year_dummy,Ordinaal,nb05,"Ordinaal (2020=0, 2023=1, 2024=2)",🟡 MEDIUM,Jaar-trend aanwezig (nb05 cel 03),Niu et al. (2023)
